_MEMBER_cluster_1_x_name,_LogP_cluster_1_x_name,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-3.6,TRR00474,M1,1,0,TRRUST,34,Regulated by: HDAC9,,-3.6,24,8.2,30244,18,207,3,1.4,0.83,2099|4205|5970,ESR1|MEF2A|RELA,-2.2,0
1,-3.6,TRR00466,M1,1,0,TRRUST,34,Regulated by: HDAC1,,-3.6,9,6,30244,81,207,5,2.4,1.1,595|1026|2099|2904|4846,CCND1|CDKN1A|ESR1|GRIN2B|NOS3,-2.2,0
1,-3.4,TRR00500,M1,1,0,TRRUST,34,Regulated by: HNF4A,,-3.4,11,6.1,30244,52,207,4,1.9,0.96,1026|1593|3767|6934,CDKN1A|CYP27A1|KCNJ11|TCF7L2,-1.9,0
1,-3.2,TRR00253,M1,1,0,TRRUST,34,Regulated by: EGR1,,-3.2,7.4,5.3,30244,99,207,5,2.4,1.1,595|1026|2335|5728|6934,CCND1|CDKN1A|FN1|PTEN|TCF7L2,-1.8,0
1,-3.1,TRR00075,M1,1,0,TRRUST,34,Regulated by: BRCA1,,-3.1,9.9,5.7,30244,59,207,4,1.9,0.96,595|1026|2099|23411,CCND1|CDKN1A|ESR1|SIRT1,-1.8,0
1,-3.1,TRR00769,M1,1,0,TRRUST,34,Regulated by: MTA1,,-3.1,17,6.7,30244,26,207,3,1.4,0.83,406|2099|5728,BMAL1|ESR1|PTEN,-1.8,0
1,-3.1,TRR01393,M1,1,0,TRRUST,34,Regulated by: TCF4,,-3.1,16,6.6,30244,27,207,3,1.4,0.83,595|596|5728,CCND1|BCL2|PTEN,-1.7,0
1,-3.1,TRR00270,M1,1,0,TRRUST,34,Regulated by: EP300,,-3.1,9.4,5.5,30244,62,207,4,1.9,0.96,595|898|1026|5970,CCND1|CCNE1|CDKN1A|RELA,-1.7,0
1,-3,TRR00029,M1,1,0,TRRUST,34,Regulated by: ATM,,-3,16,6.4,30244,28,207,3,1.4,0.83,596|1026|1843,BCL2|CDKN1A|DUSP1,-1.7,0
1,-3,TRR00342,M1,1,0,TRRUST,34,Regulated by: FOS,,-3,9.1,5.4,30244,64,207,4,1.9,0.96,595|842|1544|5241,CCND1|CASP9|CYP1A2|PGR,-1.7,0
1,-2.9,TRR01175,M1,1,0,TRRUST,34,Regulated by: RUNX3,,-2.9,14,6,30244,32,207,3,1.4,0.83,595|1026|6934,CCND1|CDKN1A|TCF7L2,-1.6,0
1,-2.8,TRR00705,M1,1,0,TRRUST,34,Regulated by: LEF1,,-2.8,13,5.8,30244,34,207,3,1.4,0.83,595|2099|6934,CCND1|ESR1|TCF7L2,-1.5,0
1,-2.8,TRR01268,M1,1,0,TRRUST,34,Regulated by: SREBF1,,-2.8,13,5.7,30244,35,207,3,1.4,0.83,857|4035|8660,CAV1|LRP1|IRS2,-1.5,0
1,-2.7,TRR00647,M1,1,0,TRRUST,34,Regulated by: JUND,,-2.7,12,5.5,30244,37,207,3,1.4,0.83,595|1026|7040,CCND1|CDKN1A|TGFB1,-1.4,0
1,-2.7,TRR01437,M1,1,0,TRRUST,34,Regulated by: TWIST1,,-2.7,12,5.5,30244,37,207,3,1.4,0.83,596|2099|2335,BCL2|ESR1|FN1,-1.4,0
1,-2.4,TRR00781,M1,1,0,TRRUST,34,Regulated by: MYCN,,-2.4,9.3,4.7,30244,47,207,3,1.4,0.83,1026|3159|94241,CDKN1A|HMGA1|TP53INP1,-1.2,0
1,-2.4,TRR01275,M1,1,0,TRRUST,34,Regulated by: STAT1,,-2.4,6.2,4.2,30244,95,207,4,1.9,0.96,1026|4988|5581|50507,CDKN1A|OPRM1|PRKCE|NOX4,-1.2,0
1,-2.3,TRR01225,M1,1,0,TRRUST,34,Regulated by: SIRT1,,-2.3,8.8,4.6,30244,50,207,3,1.4,0.83,595|1026|2309,CCND1|CDKN1A|FOXO3,-1.1,0
1,-2.2,TRR00602,M1,1,0,TRRUST,34,Regulated by: IRF1,,-2.2,8.1,4.3,30244,54,207,3,1.4,0.83,596|898|1026,BCL2|CCNE1|CDKN1A,-1,0
1,-2.1,TRR00109,M1,1,0,TRRUST,34,Regulated by: CEBPA,,-2.1,7.4,4.1,30244,59,207,3,1.4,0.83,596|2335|3643,BCL2|FN1|INSR,-0.95,0
